X,Y,Z,Z_Dither,Bregma_AP,Bregma_DV,Bregma_ML,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,ID,Acronym
260.0167,93.2753,119.4827,120.1753,2362.9337,-1861.8813,800.4175,24054.3276,1511.7241,0,0,Left,767,MOs5
260.0498,95.6255,119.3908,119.121,2365.2304,-1920.6386,801.2444,11827.1481,1399.7778,0,0,Left,767,MOs5
269.0451,96.8848,119.6411,118.7642,2358.9729,-1952.1204,1026.1287,14253.525,2169.45,0,0,Left,767,MOs5
200.0955,94.2285,122.529,122.0271,2286.7755,-1885.7133,-697.6118,9959.9062,1226.375,0,0,Right,1015,ACAd5
270.8929,93.0632,123.0666,124.4699,2273.334,-1856.579,1072.3224,15367.8,2103.16,0,0,Left,767,MOs5
198.2444,97.7017,122.3111,120.8294,2292.2231,-1972.5437,-743.8902,12920.3095,2393.381,0,0,Right,1015,ACAd5
184.4025,100.6395,121.6507,123.0418,2308.7322,-2045.9879,-1089.9376,11235.3333,1369.0333,0,0,Right,767,MOs5
258.0333,96.4965,122.5186,123.8382,2287.0357,-1942.413,750.8323,21453.6379,1024.6207,0,0,Left,767,MOs5
278.1099,96.8143,123.2309,124.5725,2269.2265,-1950.3564,1252.7469,9228.6,2007.9,0,0,Left,767,MOs5
268.9696,97.7038,122.788,124.0992,2280.3012,-1972.5942,1024.2391,14081.3333,1672.2619,0,0,Left,767,MOs5
261.9823,97.6326,122.5629,122.2544,2285.9284,-1970.8148,849.5571,11721.6562,981.4062,0,0,Left,767,MOs5
260.0299,98.8205,122.4686,122.0112,2288.2843,-2000.5113,800.7477,12790.3438,936.4375,0,0,Left,767,MOs5
264.9823,98.819,122.6021,121.9843,2284.9474,-2000.4738,924.5568,21777.2206,1230.9559,0,0,Left,767,MOs5
266.983,98.8425,122.6675,122.6869,2283.3128,-2001.0626,974.5754,17542.806,2281.8209,0,0,Left,767,MOs5
275.1248,100.2107,122.9346,121.7825,2276.6339,-2035.2686,1178.1208,18475.4898,1358.1224,0,0,Left,767,MOs5
258.0879,100.0219,122.3826,123.1942,2290.4344,-2030.5467,752.1981,10429.3333,672.3333,0,0,Left,1015,ACAd5
260.0713,101.1744,122.3787,122.8583,2290.5336,-2059.3609,801.7835,12136,618.3871,0,0,Left,1015,ACAd5
270.1182,103.5988,122.583,121.5533,2285.4241,-2119.9711,1052.9558,9929.35,903.1,0,0,Left,1021,MOs6a
272.1852,104.8178,122.6106,122.2452,2284.7342,-2150.4439,1104.6306,25249.8272,915.5679,0,0,Left,1021,MOs6a
274.1984,103.6944,122.7399,121.6592,2281.5014,-2122.3607,1154.9599,10435.5,884.25,0,0,Left,1021,MOs6a
279.4335,106.1843,122.8589,123.4438,2278.5271,-2184.6082,1285.8372,19677.8644,1070.678,0,0,Left,1021,MOs6a
